click_id,timestamp,user_id,ip_address,device_type,browser,operating_system,referrer_url,page_url,click_duration,scroll_depth,mouse_movement,keystrokes_detected,ad_position,click_frequency,time_since_last_click,device_ip_reputation,VPN_usage,proxy_usage,bot_likelihood_score,is_fraudulent
d875835d-3a4a-4a20-b0d1-6cddf89afc6a,2024-08-23 02:47:39,65a2f621-707b-49be-9c3e-ccac0b1d89ef,141.36.49.37,Tablet,Safari,Android,https://evans-ford.com/,http://www.turner-stewart.com/,0.29,60,111,8,Bottom,7,72,Good,0,1,0.29,0
a2d3f028-7790-4be1-9f75-df1357edbbdb,2025-01-30 23:23:50,135e0114-76c5-43ea-bdef-80ab537dc009,216.29.19.201,Desktop,Opera,iOS,https://pierce-ferguson.net/,http://www.rodriguez.biz/,0.64,25,452,29,Bottom,9,201,Suspicious,0,0,0.74,0
36d787b2-fbce-43ef-8c02-7c8746d7e3db,2025-01-21 05:41:12,a6922984-78cb-4c01-9c88-bfe3a13a0aaf,167.133.41.231,Tablet,Safari,Linux,https://www.martinez.com/,https://beck.biz/,0.42,36,431,18,Bottom,9,326,Good,0,1,0.14,0
01fc0078-096b-4f90-82ae-aa8085b719ac,2024-10-12 08:18:14,d30788b2-4048-4770-a4b1-a9358788818f,216.146.33.78,Tablet,Edge,macOS,https://jones-mendoza.com/,https://www.alvarado.com/,4.29,29,472,37,Side,4,33,Suspicious,0,0,0.65,0
0afdf2af-0b48-47d5-bfb6-e087053e1eb9,2024-04-19 14:44:35,dfc42287-6325-4344-b373-b8e61ea6e5c1,146.37.54.245,Desktop,Opera,Windows,https://www.griffith-holloway.com/,http://gonzalez.com/,2.46,94,50,2,Side,7,97,Good,0,0,0.06,0
2227ac87-ac93-4b5d-9e79-01b606cfdd56,2024-09-29 16:02:43,56fcc163-08e9-4c1b-ad51-04cd1d1c42a7,56.111.150.239,Desktop,Safari,iOS,http://welch.com/,http://www.meyers-mckenzie.biz/,4.06,96,481,49,Side,6,557,Good,0,0,0.33,0
a8a187f8-186a-4e50-b50b-b0da9daebadd,2024-03-19 01:44:20,92ac6feb-7506-4a80-92f2-97299de012dc,103.139.41.163,Tablet,Edge,Android,http://www.figueroa.com/,https://www.barnes-bautista.net/,0.97,10,366,47,Bottom,3,263,Good,0,0,0.98,1
1bf9d635-e119-4e9b-b147-1faaa8430d05,2024-02-19 15:26:12,3040146d-ac37-4de6-b3f1-5994cb01c5d7,15.163.69.112,Mobile,Chrome,macOS,https://leonard-parker.biz/,http://www.johnson-diaz.com/,0.75,52,387,2,Top,6,70,Good,1,0,0.12,0
e5fc8ded-a4b7-4ff9-a1da-604f08eba56a,2025-01-20 23:17:20,e81aaafd-7857-49a6-8ad5-a3b5ab77f5a3,33.170.233.207,Tablet,Edge,Windows,https://www.estrada.com/,http://www.bennett.org/,0.96,40,97,33,Bottom,8,293,Good,1,0,0.6,0
dab35bba-dcbc-4f6c-aeb6-692be88b2d69,2024-03-27 10:29:44,f2705306-6b2a-4750-8eb0-ad9ff503c950,171.26.56.226,Tablet,Opera,Linux,https://www.vance-christensen.biz/,https://howard-johnson.info/,0.04,4,410,1,Bottom,2,207,Good,0,1,0.07,0
c80f6e4e-716f-41d5-9388-d27006022ed8,2024-12-31 14:01:57,144967c8-2138-4ffa-a555-c17a044857d7,112.36.199.46,Tablet,Firefox,macOS,http://www.watkins-wall.com/,http://avila.com/,2.58,65,374,26,Side,3,172,Good,0,0,0.67,0
82e1b823-33ef-4ade-b82a-d43f4095b190,2025-01-07 07:46:54,3f932ae1-3bdd-488c-afc4-580ac1903cab,135.102.179.172,Tablet,Chrome,macOS,http://www.fischer-smith.com/,http://www.velasquez.com/,0.86,12,169,22,Top,8,395,Good,0,1,0.28,0
0cabe3e1-e2e3-4ddb-8655-b74159e92926,2024-12-06 10:24:02,45648cf2-e72f-45c0-ba25-38c7527621c2,202.48.0.79,Desktop,Safari,iOS,http://www.price-kemp.net/,https://valenzuela.com/,0.75,62,55,41,Side,4,256,Good,0,1,0.31,0
225b1358-17bd-4aa8-880a-53553c717dac,2024-11-05 19:54:18,da635778-9ae4-4169-8a24-d1bc50b954a8,16.189.253.202,Tablet,Opera,Windows,https://www.reynolds.com/,http://becker-hardin.biz/,1.82,81,220,31,Top,4,264,Good,0,0,0.34,0
f9702456-aa8a-4ff7-9fe9-3b4e4b97a324,2024-02-23 01:18:48,fec32b3e-5604-4906-b3a2-3718af40598f,57.68.183.24,Mobile,Firefox,iOS,https://lucas.net/,https://www.pena-torres.com/,1.15,89,324,46,Bottom,2,264,Good,0,1,0.21,0
69920067-6c9e-436f-87a3-6e7b3b423b4d,2024-07-04 22:34:11,8b7d56b2-ec1a-4ddb-97e3-7c1fde5a4f7b,199.254.167.163,Desktop,Edge,iOS,https://www.howard.com/,http://nelson.org/,7.91,24,145,34,Bottom,1,517,Good,0,0,0.94,1
3b6b76ae-799f-4409-b606-d3412daca2e1,2024-11-29 08:02:06,1a590a0c-4bd9-46cc-b679-94cf5f37c14d,37.92.203.25,Mobile,Firefox,Android,https://love-hampton.org/,http://www.peterson.com/,0.88,43,444,39,Bottom,7,10,Good,0,0,0.91,1
18ffe5c9-e29d-40a8-bf6b-a2e3033bd906,2024-03-29 21:33:00,a6f17077-101a-4148-ac07-7cd4c864bc0c,131.164.120.40,Mobile,Opera,Linux,https://www.schwartz.com/,http://gibson.com/,1.9,13,259,17,Top,4,271,Good,0,1,0.87,1
a078adda-16fd-42f2-8e27-68beae65616b,2024-10-06 08:24:14,cc468de5-a121-4be8-8157-e3b09edfaa86,154.32.43.195,Mobile,Opera,macOS,https://elliott.com/,https://www.morales-osborne.net/,0.75,68,128,26,Side,6,312,Good,0,0,0.11,0
